127.0.0.1 - - [28/Jun/2024:00:44:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:44:13 +0530] "GET /Bavithran/ HTTP/1.1" 200 7631
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:44:14 +0530] "GET /Bavithran/homestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:44:14 +0530] "GET /Bavithran/Imagesindex.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:44:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:44:56 +0530] "POST /Bavithran/servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:44:56 +0530] "GET /Bavithran/servlet?action=list HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:44:56 +0530] "GET /Bavithran/Event.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:18 +0530] "GET /Bavithran/servlet?action=edit&id=2 HTTP/1.1" 200 3449
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:18 +0530] "GET /Bavithran/edit.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:25 +0530] "POST /Bavithran/servlet?action=update HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:27 +0530] "GET /Bavithran/Event.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:29 +0530] "GET /Bavithran/servlet?action=delete&id=2 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:31 +0530] "GET /Bavithran/index.jsp HTTP/1.1" 200 7631
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:31 +0530] "GET /Bavithran/Imagesindex.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:35 +0530] "GET /Bavithran/Home.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:35 +0530] "GET /Bavithran/Images/birthday1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:35 +0530] "GET /Bavithran/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:35 +0530] "GET /Bavithran/Images/wedding.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:35 +0530] "GET /Bavithran/Images/party.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:35 +0530] "GET /Bavithran/Images/conference.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:35 +0530] "GET /Bavithran/Images/graduation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:35 +0530] "GET /Bavithran/Images/concert.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:49 +0530] "GET /Bavithran/login.jsp HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:58 +0530] "POST /Bavithran/login_process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:45:58 +0530] "GET /Bavithran/index.jsp HTTP/1.1" 200 7631
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:46:04 +0530] "GET /Bavithran/Home.jsp HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:46:09 +0530] "GET /Bavithran/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2024:00:46:09 +0530] "GET /Bavithran/Home.jsp HTTP/1.1" 200 4864
